Tenant_ID,Property_ID,Deal_ID,Month,Base_Rent,Expense_Reimbursement,Gross_Rent,Vacancy_Adj,Effective_Rent
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2024-05-01,25172.38,2759.95,27932.33,0.0,27932.33
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2024-06-01,25172.38,2759.95,27932.33,0.0,27932.33
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2024-07-01,25172.38,2759.95,27932.33,0.0,27932.33
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2024-08-01,25172.38,2759.95,27932.33,0.0,27932.33
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2024-09-01,25172.38,2759.95,27932.33,0.0,27932.33
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2024-10-01,25172.38,2759.95,27932.33,0.0,27932.33
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2024-11-01,25172.38,2759.95,27932.33,0.0,27932.33
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2024-12-01,25172.38,2759.95,27932.33,0.0,27932.33
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-01-01,25172.38,2759.95,27932.33,0.0,27932.33
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-02-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-03-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-04-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-05-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-06-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-07-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-08-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-09-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-10-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-11-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2025-12-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-01-01,25927.55,2815.15,28742.7,0.0,28742.7
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-02-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-03-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-04-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-05-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-06-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-07-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-08-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-09-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-10-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-11-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2026-12-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-01-01,26705.37,2871.46,29576.83,0.0,29576.83
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-02-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-03-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-04-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-05-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-06-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-07-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-08-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-09-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-10-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-11-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2027-12-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2028-01-01,27506.53,2928.89,30435.42,0.0,30435.42
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2028-02-01,28331.73,2987.46,31319.19,0.0,31319.19
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2028-03-01,28331.73,2987.46,31319.19,0.0,31319.19
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2028-04-01,28331.73,2987.46,31319.19,0.0,31319.19
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2028-05-01,28331.73,2987.46,31319.19,0.0,31319.19
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2028-06-01,28331.73,2987.46,31319.19,0.0,31319.19
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2028-07-01,28331.73,2987.46,31319.19,0.0,31319.19
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2028-08-01,28331.73,2987.46,31319.19,0.0,31319.19
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2028-09-01,28331.73,2987.46,31319.19,0.0,31319.19
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,2028-10-01,28331.73,2987.46,31319.19,0.0,31319.19
